Number,Verse
255,"Mark 13:5-37 “Watch out that no one deceives you. 6 Many will come in my name, claiming, ‘I am he,’ and will deceive many. 7 When you hear of wars and rumors of wars, do not be alarmed. Such things must happen, but the end is still to come. 8 Nation will rise against nation, and kingdom against kingdom. There will be earthquakes in various places, and famines. These are the beginning of birth pains. 9 “You must be on your guard. You will be handed over to the local councils and flogged in the synagogues. On account of me you will stand before governors and kings as witnesses to them. 10 And the gospel must first be preached to all nations. 11 Whenever you are arrested and brought to trial, do not worry beforehand about what to say. Just say whatever is given you at the time, for it is not you speaking, but the Holy Spirit. 12 “Brother will betray brother to death, and a father his child. Children will rebel against their parents and have them put to death. 13 Everyone will hate you because of me, but the one who stands firm to the end will be saved. 14 “When you see ‘the abomination that causes desolation’ standing where it does not belong—let the reader understand—then let those who are in Judea flee to the mountains. 15 Let no one on the housetop go down or enter the house to take anything out. 16 Let no one in the field go back to get their cloak. 17 How dreadful it will be in those days for pregnant women and nursing mothers! 18 Pray that this will not take place in winter, 19 because those will be days of distress unequaled from the beginning, when God created the world, until now—and never to be equaled again. 20 “If the Lord had not cut short those days, no one would survive. But for the sake of the elect, whom he has chosen, he has shortened them. 21 At that time if anyone says to you, ‘Look, here is the Messiah!’ or, ‘Look, there he is!’ do not believe it. 22 For false messiahs and false prophets will appear and perform signs and wonders to deceive, if possible, even the elect. 23 So be on your guard; I have told you everything ahead of time. 24 “But in those days, following that distress, “‘the sun will be darkened, and the moon will not give its light; 25 the stars will fall from the sky, and the heavenly bodies will be shaken.’ 26 “At that time people will see the Son of Man coming in clouds with great power and glory. 27 And he will send his angels and gather his elect from the four winds, from the ends of the earth to the ends of the heavens. 28 “Now learn this lesson from the fig tree: As soon as its twigs get tender and its leaves come out, you know that summer is near. 29 Even so, when you see these things happening, you know that it is near, right at the door. 30 Truly I tell you, this generation will certainly not pass away until all these things have happened. 31 Heaven and earth will pass away, but my words will never pass away. 32 “But about that day or hour no one knows, not even the angels in heaven, nor the Son, but only the Father. 33 Be on guard! Be alert! You do not know when that time will come. 34 It’s like a man going away: He leaves his house and puts his servants in charge, each with their assigned task, and tells the one at the door to keep watch. 35 “Therefore keep watch because you do not know when the owner of the house will come back—whether in the evening, or at midnight, or when the rooster crows, or at dawn. 36 If he comes suddenly, do not let him find you sleeping. 37 What I say to you, I say to everyone: ‘Watch!’”"
256,"Mark 14:6-9 6 “Leave her alone,” said Jesus. “Why are you bothering her? She has done a beautiful thing to me. 7 The poor you will always have with you, and you can help them any time you want. But you will not always have me. 8 She did what she could. She poured perfume on my body beforehand to prepare for my burial. 9 Truly I tell you, wherever the gospel is preached throughout the world, what she has done will also be told, in memory of her.”"
257,"Mark 14:13-15 “Go into the city, and a man carrying a jar of water will meet you. Follow him. 14 Say to the owner of the house he enters, ‘The Teacher asks: Where is my guest room, where I may eat the Passover with my disciples?’ 15 He will show you a large room upstairs, furnished and ready. Make preparations for us there.”"
258,"Mark 14:18 “Truly I tell you, one of you will betray me—one who is eating with me.”"
259,"Mark 14:20-21 20 “It is one of the Twelve,” “one who dips bread into the bowl with me. 21 The Son of Man will go just as it is written about him. But woe to that man who betrays the Son of Man! It would be better for him if he had not been born.”"
260,Mark 14:22 “Take it; this is my body.”
261,"Mark 14:24-25 24 “This is my blood of the covenant, which is poured out for many,” 25 “Truly I tell you, I will not drink again from the fruit of the vine until that day when I drink it new in the kingdom of God.”"
262,"Mark 14:27-28 27 “You will all fall away,” “for it is written: “‘I will strike the shepherd, and the sheep will be scattered.’ 28 But after I have risen, I will go ahead of you into Galilee.”"
263,"Mark 14:30 30 “Truly I tell you,” “today—yes, tonight—before the rooster crows twice you yourself will disown me three times.”"
264,Mark 14:32 “Sit here while I pray.”
265,"Mark 14:34 34 “My soul is overwhelmed with sorrow to the point of death,” “Stay here and keep watch.”"
266,"Mark 14:36 36 “Abba, Father,” “everything is possible for you. Take this cup from me. Yet not what I will, but what you will.”"
267,"Mark 14:37-38 “Simon,” “are you asleep? Couldn’t you keep watch for one hour? 38 Watch and pray so that you will not fall into temptation. The spirit is willing, but the flesh is weak.”"
268,"Mark 14:41-42 “Are you still sleeping and resting? Enough! The hour has come. Look, the Son of Man is delivered into the hands of sinners. 42 Rise! Let us go! Here comes my betrayer!”"
269,"Mark 14:48-49 48 “Am I leading a rebellion,” “that you have come out with swords and clubs to capture me? 49 Every day I was with you, teaching in the temple courts, and you did not arrest me. But the Scriptures must be fulfilled.”"
270,"Mark 14:62 62 “I am,” “And you will see the Son of Man sitting at the right hand of the Mighty One and coming on the clouds of heaven.”"
271,Mark 14:72 “Before the rooster crows twice you will disown me three times.”
272,"Mark 15:2 “You have said so,”"
273,"Mark 15:34 “Eloi, Eloi, lema sabachthani?”"
274,"Mark 16:15-16:18 “Go into all the world and preach the gospel to all creation. 16 Whoever believes and is baptized will be saved, but whoever does not believe will be condemned. 17 And these signs will accompany those who believe: In my name they will drive out demons; they will speak in new tongues; 18 they will pick up snakes with their hands; and when they drink deadly poison, it will not hurt them at all; they will place their hands on sick people, and they will get well.”"
275,Luke 2:49 Why were you searching for me?” “Didn’t you know I had to be in my Father’s house?”
276,Luke 4:4 “It is written: ‘Man shall not live on bread alone.’”
277,Luke 4:8 “It is written: ‘Worship the Lord your God and serve him only.’”
278,Luke 4:12 “It is said: ‘Do not put the Lord your God to the test.’”
279,"Luke 4:18-19 18 “The Spirit of the Lord is on me, because he has anointed me to proclaim good news to the poor. He has sent me to proclaim freedom for the prisoners and recovery of sight for the blind, to set the oppressed free, 19 to proclaim the year of the Lord’s favor.”"
